"ID","condition","correct","rt"
1,1,0,627.8654924279
1,1,1,753.62840106994
1,1,1,506.900400716256
1,1,1,591.907071449467
1,1,1,500.455379379691
1,1,0,671.536032866344
1,1,1,557.196827231743
1,1,1,373.986636696959
1,1,0,392.621561619102
1,1,1,445.206047817613
1,1,0,889.053088439053
1,1,1,559.214176740914
1,1,0,864.006802941331
1,1,1,632.639554430201
1,1,1,655.272959990619
1,1,1,564.215308213195
1,1,1,680.81801218173
1,1,1,585.176388127672
1,1,1,592.575841768327
1,1,0,561.219858529377
1,1,1,367.002346562332
1,1,1,481.919264515116
1,1,0,668.236373510356
1,1,1,491.538283694544
1,1,1,719.506602304234
1,1,1,355.66890820975
1,1,0,537.753761044111
1,1,0,919.941959895717
1,1,1,857.280481092269
1,1,1,890.801540686042
1,1,1,890.108979986568
1,1,1,498.981086884698
1,1,1,353.926320123017
1,1,1,647.627021312432
1,1,0,485.134940067018
1,1,1,484.367044244732
1,1,1,399.986890490935
1,1,1,548.385985964972
1,1,1,683.141565296537
1,1,1,578.890469898957
1,1,1,521.015060690534
1,1,1,532.628675338305
1,1,1,509.41355010182
1,1,1,355.384186335379
1,1,1,770.751223823604
1,1,1,1031.42725603677
1,1,1,740.217033433556
1,1,1,564.247725330217
1,1,1,392.294844954472
1,1,1,442.77004915407
1,1,1,1171.30584374582
1,1,1,551.756157103423
1,1,1,644.757408353008
1,1,1,1079.30765204389
1,1,0,429.970639349338
1,1,1,549.561672526028
1,1,1,480.857013906461
1,1,1,481.820282818906
1,1,1,442.304577157298
1,1,1,602.908787967929
1,1,1,511.839274488882
1,1,1,747.434357598619
1,1,0,554.007354255918
1,1,0,700.693787115356
1,1,1,612.093187794569
1,1,1,613.819840357264
1,1,1,876.157048028311
1,1,1,540.561187266518
1,1,1,346.940179640942
1,1,1,532.735668039171
1,1,1,504.282569803149
1,1,0,400.215573418676
1,1,1,540.1618678014
1,1,1,501.256441699676
1,1,1,1781.02863171203
1,1,0,677.481509385214
1,1,1,380.459395752152
1,1,0,501.090632906549
1,1,1,411.21089509964
1,1,0,400.501996877899
1,1,1,478.960484928862
1,1,1,1023.96708009963
1,1,1,572.713887126472
1,1,1,679.500419410226
1,1,0,747.975958670789
1,1,1,472.411589434664
1,1,0,452.60699978463
1,1,1,583.64814604342
1,1,1,1100.05020378374
1,1,0,401.9873058349
1,1,1,628.455819228899
1,1,1,612.069989897439
1,1,1,944.754568746385
1,1,1,869.865133154512
1,1,1,517.369380501579
1,1,0,503.078704275126
1,1,1,638.112135732283
1,1,1,854.534418531336
1,1,1,650.483463317238
1,1,0,534.736539033126
1,1,1,582.061712061874
1,1,0,594.072903216564
1,1,1,575.582407183313
1,1,1,622.765515908093
1,1,1,387.287858547592
1,1,1,454.769291912804
1,1,1,743.391520014354
1,1,1,376.088291353096
1,1,1,483.241864112816
1,1,1,403.854387038613
1,1,0,591.189270965555
1,1,1,462.227073348459
1,1,1,595.116808633843
1,1,1,363.50150236932
1,1,1,791.722343538046
1,1,1,385.423671830265
1,1,1,726.078304642281
1,1,0,362.521121394972
1,1,1,482.626723612016
1,1,1,651.532582824359
1,1,1,711.721706964763
1,1,1,376.437192244898
1,1,1,895.613249588043
1,1,1,689.960836676325
1,1,1,833.836056187846
1,1,1,717.401939391536
1,1,1,583.672495059648
1,1,1,389.975722197697
1,1,1,858.594682019255
1,1,0,404.522046768539
1,1,1,728.578067497566
1,1,1,449.827104488941
1,1,1,507.425864517583
1,1,1,416.867739813516
1,1,0,535.099978960735
1,1,1,493.305257236536
1,1,0,550.463246118112
1,1,1,481.560678557321
1,1,1,496.502888649864
1,1,1,767.74783161407
1,1,1,476.575352018331
1,1,1,783.680189004254
1,1,1,644.292965098386
1,1,1,386.56664221315
1,1,0,516.660925776199
1,1,1,386.705286469659
1,1,1,520.295329164475
1,1,1,740.591754060226
1,1,1,352.645147054147
1,1,0,921.887284602034
1,1,1,605.998086968123
1,1,1,499.785400046137
1,1,1,462.416216514044
1,1,1,1121.4390784701
1,1,1,731.318260110552
1,1,1,1143.92315245881
1,1,1,599.187668938873
1,1,0,576.615279411202
1,1,0,420.571793098759
1,1,0,548.48496938056
1,1,1,414.432958457718
1,1,1,634.442625602768
1,1,1,464.867800701886
1,1,1,624.974037539733
1,1,1,949.69089249898
1,1,1,518.715184740693
1,1,1,1028.61016145842
1,1,0,466.470832153578
1,1,0,606.007782450898
1,1,1,582.065088002925
1,1,1,425.876410984135
1,1,1,516.914625780234
1,1,1,422.695268284602
1,1,1,773.554958699388
1,1,1,560.218986271729
1,1,0,437.395609166329
1,1,1,775.415867434007
